date,product_category,region,units_sold,revenue_eur,cost_eur,channel
2025-01-15,Electronics,North,120,24000,18000,Online
2025-01-15,Electronics,South,85,17000,12750,Retail
2025-01-15,Furniture,North,45,13500,9450,Online
2025-01-15,Furniture,South,62,18600,13020,Retail
2025-01-15,Software,North,200,40000,8000,Online
2025-01-15,Software,South,150,30000,6000,Online
2025-02-15,Electronics,North,135,27000,20250,Online
2025-02-15,Electronics,South,90,18000,13500,Retail
2025-02-15,Furniture,North,38,11400,7980,Online
2025-02-15,Furniture,South,55,16500,11550,Retail
2025-02-15,Software,North,220,44000,8800,Online
2025-02-15,Software,South,175,35000,7000,Online
2025-03-15,Electronics,North,142,28400,21300,Online
2025-03-15,Electronics,South,95,19000,14250,Retail
2025-03-15,Furniture,North,50,15000,10500,Online
2025-03-15,Furniture,South,68,20400,14280,Retail
2025-03-15,Software,North,245,49000,9800,Online
2025-03-15,Software,South,190,38000,7600,Online
2025-04-15,Electronics,North,155,31000,23250,Online
2025-04-15,Electronics,South,88,17600,13200,Retail
2025-04-15,Furniture,North,42,12600,8820,Retail
2025-04-15,Furniture,South,71,21300,14910,Retail
2025-04-15,Software,North,260,52000,10400,Online
2025-04-15,Software,South,205,41000,8200,Online
2025-05-15,Electronics,North,148,29600,22200,Online
2025-05-15,Electronics,South,5,1000,750,Retail
2025-05-15,Furniture,North,55,16500,11550,Online
2025-05-15,Furniture,South,75,22500,15750,Retail
2025-05-15,Software,North,280,56000,11200,Online
2025-05-15,Software,South,215,43000,8600,Online
2025-06-15,Electronics,North,160,32000,24000,Online
2025-06-15,Electronics,South,110,22000,16500,Retail
2025-06-15,Furniture,North,48,14400,10080,Online
2025-06-15,Furniture,South,80,24000,16800,Retail
2025-06-15,Software,North,300,60000,12000,Online
2025-06-15,Software,South,230,46000,9200,Online
